Identifier	Chromosome	Prediction 	Probability 	gpi-Prediction	Anchor Position
FgramCML3066_01t00053	Chromosome_1	Effector	0.998	0.756	N-138
FgramCML3066_01t00067	Chromosome_1	Effector	0.994	0.182	S-110
FgramCML3066_01t00075	Chromosome_1	Non-effector	1	0.154	V-402
FgramCML3066_01t00083	Chromosome_1	Non-effector	0.568	0.043	K-187
FgramCML3066_01t00085	Chromosome_1	Effector	1	0.72	D-96
FgramCML3066_01t00089	Chromosome_1	Non-effector	1	0.001	V-659
FgramCML3066_01t00093	Chromosome_1	Non-effector	0.727	0.522	T-287
FgramCML3066_01t00095	Chromosome_1	Non-effector	1	0.986	C-706
FgramCML3066_01t00115	Chromosome_1	Effector	0.772	0.288	D-242
FgramCML3066_01t00125	Chromosome_1	Non-effector	0.703	0.428	Y-255
FgramCML3066_01t00129	Chromosome_1	Effector	0.998	0.36	D-156
FgramCML3066_01t00135	Chromosome_1	Non-effector	1	0.036	N-1387
FgramCML3066_01t00191	Chromosome_1	Effector	0.999	0.323	Q-138
FgramCML3066_01t00195	Chromosome_1	Non-effector	1	0.074	Q-236
FgramCML3066_01t00211	Chromosome_1	Effector	1	0.652	N-113
FgramCML3066_01t00213	Chromosome_1	Effector	0.985	0.807	N-105
FgramCML3066_01t00215	Chromosome_1	Effector	0.999	0.604	D-113
FgramCML3066_01t00241	Chromosome_1	Non-effector	1	0.323	D-253
FgramCML3066_01t00295	Chromosome_1	Non-effector	1	0.428	S-254
FgramCML3066_01t00299	Chromosome_1	Non-effector	1	0.394	R-483
FgramCML3066_01t00327	Chromosome_1	Effector	0.968	0.493	D-107
FgramCML3066_01t00329	Chromosome_1	Effector	0.992	0.182	D-115
FgramCML3066_01t00333	Chromosome_1	Effector	0.979	0.288	N-79
FgramCML3066_01t00371	Chromosome_1	Non-effector	1	0.216	S-192
FgramCML3066_01t00513	Chromosome_1	Non-effector	1	0.741	S-289
FgramCML3066_01t00581	Chromosome_1	Non-effector	0.999	0	S-197
FgramCML3066_01t00619	Chromosome_1	Non-effector	1	0.074	D-303
FgramCML3066_01t00625	Chromosome_1	Effector	0.998	0.675	M-107
FgramCML3066_01t00657	Chromosome_1	Non-effector	1	0.522	Y-491
FgramCML3066_01t00711	Chromosome_1	Effector	0.998	0.463	T-55
FgramCML3066_01t00803	Chromosome_1	Non-effector	1	0.018	G-584
FgramCML3066_01t00847	Chromosome_1	Non-effector	1	0.773	T-360
FgramCML3066_01t01089	Chromosome_1	Non-effector	1	0.074	S-516
FgramCML3066_01t01099	Chromosome_1	Non-effector	0.914	0.001	S-254
FgramCML3066_01t01263	Chromosome_1	Non-effector	1	0.001	S-243
FgramCML3066_01t01461	Chromosome_1	Non-effector	0.952	0.675	K-190
